CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
14841,MR.,FRANKLIN,PAL,12-07-1911,M,M,franklin30@adventure-works.com,"20,000",2,Partial High School,Manual,Y
16325,MRS.,EMMA,WILLIAMS,09-10-1913,S,F,emma1@adventure-works.com,"30,000",1,Partial College,Clerical,Y
25527,MR.,ROBERT,JOHNSON,05-11-1913,S,M,robert85@adventure-works.com,"20,000",2,Partial High School,Manual,N
24713,MR.,JEREMY,BROOKS,07-05-1916,S,M,jeremy33@adventure-works.com,"10,000",4,Partial High School,Manual,N
17640,MRS.,HALEY,ALLEN,12-07-1916,M,F,haley58@adventure-works.com,"30,000",1,High School,Manual,Y
15628,MRS.,BRIANNA,SANDBERG,10-11-1916,M,F,brianna47@adventure-works.com,"40,000",1,Bachelors,Skilled Manual,Y
25416,MR.,JACK,COLEMAN,06-06-1919,M,M,jack6@adventure-works.com,"20,000",3,Partial High School,Clerical,N
24035,MRS.,JACLYN,WU,04-08-1919,S,F,jaclyn7@adventure-works.com,"10,000",3,Bachelors,Clerical,N
23190,MR.,NATHANIEL,RAMIREZ,03-10-1921,S,M,nathaniel8@adventure-works.com,"20,000",3,Partial High School,Clerical,N
15519,MRS.,JENNIFER,EVANS,11-10-1921,M,F,jennifer4@adventure-works.com,"10,000",4,Partial High School,Clerical,N
20866,MR.,DAVID,JONES,06-03-1922,M,M,david76@adventure-works.com,"1,30,000",0,Bachelors,Professional,Y
22453,MR.,DAKOTA,LONG,02-04-1922,M,M,dakota8@adventure-works.com,"10,000",3,Bachelors,Clerical,Y
14166,MRS.,ELIZABETH,JENKINS,10-11-1922,M,F,elizabeth36@adventure-works.com,"10,000",3,Bachelors,Clerical,N
22629,MR.,MATTHEW,RODRIGUEZ,08-03-1923,M,M,matthew25@adventure-works.com,"40,000",1,Graduate Degree,Clerical,Y
17619,MRS.,CHLOE,SMITH,06-10-1923,M,F,chloe34@adventure-works.com,"60,000",5,Partial High School,Skilled Manual,Y
23208,MRS.,JANET,WATSON,07-06-1924,S,F,janet28@adventure-works.com,"50,000",1,Graduate Degree,Professional,Y
26355,MR.,DARREN,MADAN,08-07-1925,M,M,darren10@adventure-works.com,"20,000",2,High School,Manual,N
21057,MRS.,ELIZABETH,BUTLER,03-09-1925,M,F,elizabeth43@adventure-works.com,"80,000",5,Bachelors,Skilled Manual,Y
11555,MRS.,ALEXANDRIA,HENDERSON,07-08-1926,M,F,alexandria5@adventure-works.com,"40,000",1,Bachelors,Clerical,Y
26358,MR.,MASON,GONZALEZ,08-10-1926,S,M,mason29@adventure-works.com,"20,000",2,High School,Manual,N
26628,MR.,LUCAS,LEE,05-04-1927,S,M,lucas36@adventure-works.com,"40,000",2,High School,Skilled Manual,N
20893,MR.,ROBERT,HALL,08-06-1927,M,M,robert89@adventure-works.com,"30,000",1,Bachelors,Clerical,Y
26742,MR.,JAMES,COLLINS,03-09-1927,M,M,james52@adventure-works.com,"70,000",3,Partial College,Skilled Manual,Y
22931,MR.,LOGAN,JOHNSON,03-02-1928,M,M,logan50@adventure-works.com,"1,00,000",5,Graduate Degree,Management,N
18058,MRS.,RILEY,PATTERSON,03-04-1928,S,F,riley8@adventure-works.com,"20,000",3,High School,Skilled Manual,Y
21154,MR.,MICHAEL,CLARK,02-10-1928,M,M,michael51@adventure-works.com,"50,000",1,Graduate Degree,Professional,N
24081,MRS.,ALEXIS,HUGHES,02-01-1929,M,F,alexis34@adventure-works.com,"10,000",4,High School,Manual,N
17276,MR.,ELIJAH,JENKINS,12-02-1929,S,M,elijah10@adventure-works.com,"50,000",1,Graduate Degree,Management,Y
20737,MRS.,VICTORIA,GRIFFIN,07-03-1929,M,F,victoria67@adventure-works.com,"20,000",2,Partial College,Clerical,N
19465,MRS.,SIERRA,BAKER,03-05-1929,S,F,sierra14@adventure-works.com,"10,000",4,High School,Manual,Y
17658,MRS.,JADE,HOWARD,03-06-1929,M,F,jade8@adventure-works.com,"20,000",2,High School,Manual,N
13951,MR.,DYLAN,HUGHES,10-06-1929,S,M,dylan10@adventure-works.com,"60,000",1,Graduate Degree,Management,Y
29177,MR.,FRANK,MARTIN,11-06-1929,M,M,frank30@adventure-works.com,"70,000",3,Graduate Degree,Management,Y
26843,MR.,NOAH,GONZALEZ,02-08-1929,S,M,noah35@adventure-works.com,"10,000",4,High School,Manual,N
